		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/27/22	12:10 a	0.7	0.8	0.7	95	0.0	0.0	WNW	0.00	0.9	WNW	0.7	0.7	0.7	1029.2	0.00	0.0	0.122	0.000	23.6	38	8.4	22.8	7.37	1.1961	228	1	100.0	10
01/27/22	12:20 a	0.7	0.7	0.7	95	0.0	0.0	NW	0.00	0.9	NW	0.7	0.7	0.7	1029.3	0.00	0.0	0.122	0.000	23.4	38	8.3	22.7	7.39	1.1970	232	1	100.0	10
01/27/22	12:30 a	0.7	0.7	0.7	95	0.0	0.0	W	0.00	0.9	NW	0.7	0.7	0.7	1029.4	0.00	0.0	0.122	0.000	23.2	39	8.5	22.5	7.57	1.1976	234	1	100.0	10
01/27/22	12:40 a	0.7	0.7	0.7	95	-0.0	0.0	WNW	0.00	1.3	NNW	0.7	0.6	0.6	1029.4	0.00	0.0	0.123	0.000	23.1	39	8.4	22.4	7.58	1.1982	233	1	100.0	10
01/27/22	12:50 a	0.7	0.7	0.7	95	-0.0	0.4	NW	0.27	1.3	NW	0.7	0.6	0.6	1029.3	0.00	0.0	0.123	0.000	22.9	39	8.2	22.2	7.58	1.1988	234	1	100.0	10
01/27/22	1:00 a	0.7	0.7	0.6	95	-0.0	0.0	NNW	0.00	0.9	NW	0.7	0.6	0.6	1029.3	0.00	0.0	0.123	0.000	22.8	40	8.5	22.1	7.69	1.1991	234	1	100.0	10
01/27/22	1:10 a	0.7	0.7	0.7	95	-0.0	0.0	NW	0.00	0.9	NNW	0.7	0.6	0.6	1029.4	0.00	0.0	0.123	0.000	22.7	36	6.8	21.7	7.14	1.2012	233	1	100.0	10
01/27/22	1:20 a	0.7	0.7	0.7	95	-0.0	0.0	NW	0.00	0.9	NW	0.7	0.6	0.6	1029.3	0.00	0.0	0.123	0.000	22.7	39	8.0	21.8	7.59	1.2001	224	1	98.2	10
01/27/22	1:30 a	0.6	0.7	0.6	95	-0.1	0.0	WNW	0.00	0.4	WNW	0.6	0.6	0.6	1029.2	0.00	0.0	0.123	0.000	23.3	37	7.8	22.5	7.27	1.1977	234	1	100.0	10
01/27/22	1:40 a	0.6	0.6	0.6	95	-0.2	0.0	NW	0.00	0.9	NW	0.6	0.5	0.5	1029.2	0.00	0.0	0.123	0.000	23.0	37	7.5	22.2	7.28	1.1990	234	1	100.0	10
01/27/22	1:50 a	0.6	0.6	0.5	95	-0.2	0.0	NW	0.00	0.4	NW	0.6	0.5	0.5	1029.2	0.00	0.0	0.123	0.000	22.3	37	6.9	21.3	7.31	1.2022	232	1	100.0	10
01/27/22	2:00 a	0.6	0.6	0.5	95	-0.2	0.0	NW	0.00	1.3	NW	0.6	0.5	0.5	1029.2	0.00	0.0	0.123	0.000	21.8	38	6.8	20.5	7.50	1.2046	234	1	100.0	10
01/27/22	2:10 a	0.5	0.6	0.5	95	-0.2	0.0	---	0.00	0.0	---	0.5	0.4	0.4	1029.3	0.00	0.0	0.124	0.000	21.4	38	6.5	20.0	7.53	1.2066	233	1	100.0	10
01/27/22	2:20 a	0.6	0.6	0.5	96	-0.0	0.0	---	0.00	0.0	---	0.6	0.5	0.5	1029.2	0.00	0.0	0.123	0.000	21.2	38	6.3	19.7	7.55	1.2075	231	1	100.0	10
