		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/02/22	12:10 a	1.6	1.7	1.6	92	0.5	0.0	---	0.00	0.0	---	1.6	1.6	1.6	1029.5	0.00	0.0	0.116	0.000	21.4	37	6.1	19.9	7.34	1.2072	233	1	100.0	10
02/02/22	12:20 a	1.6	1.6	1.5	92	0.4	0.0	---	0.00	0.0	---	1.6	1.5	1.5	1029.5	0.00	0.0	0.117	0.000	21.2	37	5.9	19.6	7.35	1.2082	234	1	100.0	10
02/02/22	12:30 a	1.4	1.5	1.4	92	0.3	0.0	---	0.00	0.0	---	1.4	1.4	1.4	1029.6	0.00	0.0	0.117	0.000	20.9	36	5.3	19.3	7.24	1.2097	233	1	100.0	10
02/02/22	12:40 a	1.3	1.4	1.2	92	0.1	0.0	---	0.00	0.0	---	1.3	1.2	1.2	1029.7	0.00	0.0	0.118	0.000	20.7	36	5.1	19.1	7.23	1.2112	232	1	100.0	10
02/02/22	12:50 a	1.2	1.2	1.1	92	0.0	0.0	---	0.00	0.0	---	1.2	1.1	1.1	1029.5	0.00	0.0	0.119	0.000	20.4	36	4.8	18.8	7.22	1.2122	232	1	100.0	10
02/02/22	1:00 a	1.0	1.1	0.9	92	-0.2	0.0	---	0.00	0.0	---	1.0	0.9	0.9	1029.5	0.00	0.0	0.120	0.000	20.1	37	5.0	18.7	7.35	1.2132	233	1	100.0	10
02/02/22	1:10 a	0.9	0.9	0.9	93	-0.1	0.0	---	0.00	0.0	---	0.9	0.8	0.8	1029.5	0.00	0.0	0.121	0.000	19.8	37	4.7	18.4	7.35	1.2145	233	1	100.0	10
02/02/22	1:20 a	0.8	0.9	0.8	93	-0.2	0.0	W	0.00	0.4	W	0.8	0.8	0.8	1029.5	0.00	0.0	0.122	0.000	19.6	37	4.5	18.1	7.35	1.2159	235	1	100.0	10
02/02/22	1:30 a	0.8	0.9	0.8	93	-0.2	0.0	---	0.00	0.0	---	0.8	0.8	0.8	1029.5	0.00	0.0	0.122	0.000	19.3	38	4.6	17.9	7.55	1.2167	234	1	100.0	10
02/02/22	1:40 a	0.9	1.1	0.8	94	0.1	0.0	---	0.00	0.0	---	0.9	0.9	0.9	1029.6	0.00	0.0	0.121	0.000	19.2	38	4.5	17.7	7.55	1.2177	231	1	100.0	10
02/02/22	1:50 a	1.2	1.2	1.1	94	0.3	0.0	---	0.00	0.0	---	1.2	1.1	1.1	1029.8	0.00	0.0	0.119	0.000	18.9	38	4.3	17.4	7.55	1.2190	234	1	100.0	10
02/02/22	2:00 a	1.2	1.2	1.1	94	0.3	0.0	---	0.00	0.0	---	1.2	1.1	1.1	1029.9	0.00	0.0	0.119	0.000	18.8	38	4.2	17.3	7.55	1.2198	233	1	100.0	10
02/02/22	2:10 a	1.1	1.2	1.1	93	0.1	0.0	---	0.00	0.0	---	1.1	1.1	1.1	1030.0	0.00	0.0	0.120	0.000	18.6	39	4.4	17.2	7.74	1.2205	232	1	100.0	10
02/02/22	2:20 a	1.0	1.1	0.9	93	-0.0	0.0	---	0.00	0.0	---	1.0	0.9	0.9	1030.3	0.00	0.0	0.120	0.000	18.4	39	4.2	17.0	7.75	1.2216	232	1	100.0	10
02/02/22	2:30 a	0.9	0.9	0.9	93	-0.1	0.0	---	0.00	0.0	---	0.9	0.8	0.8	1030.3	0.00	0.0	0.121	0.000	18.4	39	4.2	16.9	7.75	1.2219	233	1	100.0	10
02/02/22	2:40 a	0.8	0.9	0.8	93	-0.2	0.0	---	0.00	0.0	---	0.8	0.8	0.8	1030.2	0.00	0.0	0.122	0.000	18.3	39	4.1	16.9	7.75	1.2221	234	1	100.0	10
