		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/09/22	12:10 a	7.7	7.8	7.5	90	6.1	0.0	E	0.00	0.9	E	7.7	7.7	7.7	1037.1	0.00	0.00	0.074	0.000	19.3	65	12.6	19.2	11.91	 .0761	234	1	100.0	10
02/09/22	12:20 a	7.8	7.8	7.7	89	6.1	0.0	E	0.00	0.9	E	7.8	7.8	7.8	1037.4	0.00	0.00	0.073	0.000	19.3	65	12.5	19.1	11.92	 .0761	233	1	100.0	10
02/09/22	12:30 a	7.6	7.7	7.6	90	6.1	0.0	E	0.00	0.9	E	7.6	7.7	7.7	1037.3	0.00	0.00	0.074	0.000	19.2	65	12.5	19.1	11.92	 .0761	234	1	100.0	10
02/09/22	12:40 a	7.6	7.6	7.5	90	6.0	0.0	E	0.00	0.9	E	7.6	7.6	7.6	1036.9	0.00	0.00	0.075	0.000	19.2	65	12.5	19.1	11.92	 .0761	233	1	100.0	10
02/09/22	12:50 a	7.4	7.5	7.4	91	6.1	0.0	E	0.00	1.7	E	7.4	7.5	7.5	1036.7	0.00	0.00	0.076	0.000	19.2	65	12.4	19.0	11.92	 .0761	232	1	100.0	10
02/09/22	1:00 a	7.4	7.4	7.4	92	6.2	0.0	E	0.00	1.7	E	7.4	7.5	7.5	1037.1	0.00	0.00	0.076	0.000	19.1	64	12.1	18.9	11.72	 .0762	234	1	100.0	10
02/09/22	1:10 a	7.4	7.5	7.4	92	6.2	0.0	E	0.00	0.9	E	7.4	7.6	7.6	1037.1	0.00	0.00	0.076	0.000	19.1	64	12.1	18.8	11.72	 .0762	234	1	100.0	10
02/09/22	1:20 a	7.3	7.4	7.3	92	6.1	0.0	E	0.00	1.7	E	7.3	7.4	7.4	1037.1	0.00	0.00	0.076	0.000	19.1	63	11.8	18.8	11.62	 .0762	232	1	100.0	10
02/09/22	1:30 a	7.3	7.3	7.3	92	6.1	0.0	E	0.00	0.9	E	7.3	7.4	7.4	1036.6	0.00	0.00	0.076	0.000	19.0	63	11.8	18.7	11.63	 .0762	233	1	100.0	10
02/09/22	1:40 a	7.3	7.3	7.3	92	6.1	0.0	E	0.00	1.7	E	7.3	7.3	7.3	1037.0	0.00	0.00	0.077	0.000	19.0	63	11.8	18.7	11.63	 .0762	234	1	100.0	10
02/09/22	1:50 a	7.2	7.3	7.2	92	6.0	0.0	E	0.00	1.7	E	7.2	7.3	7.3	1036.8	0.00	0.00	0.077	0.000	19.0	63	11.8	18.7	11.63	 .0762	234	1	100.0	10
02/09/22	2:00 a	7.2	7.2	7.1	92	6.0	0.0	E	0.00	1.7	E	7.2	7.2	7.2	1036.8	0.00	0.00	0.078	0.000	19.0	62	11.6	18.6	11.43	 .0762	234	1	100.0	10
02/09/22	2:10 a	7.1	7.1	7.1	92	5.8	0.0	---	0.00	0.0	---	7.1	7.1	7.1	1037.2	0.00	0.00	0.078	0.000	19.0	62	11.6	18.6	11.43	 .0762	232	1	100.0	10
02/09/22	2:20 a	7.0	7.1	7.0	92	5.8	0.0	---	0.00	0.0	---	7.0	7.1	7.1	1037.1	0.00	0.00	0.079	0.000	18.9	62	11.5	18.6	11.43	 .0762	235	1	100.0	10
02/09/22	2:30 a	7.0	7.0	6.9	92	5.8	0.0	E	0.00	0.9	E	7.0	7.1	7.1	1037.1	0.00	0.00	0.079	0.000	18.9	61	11.3	18.5	11.25	 .0763	232	1	100.0	10
02/09/22	2:40 a	7.0	7.0	6.9	93	5.9	0.0	NNE	0.00	1.7	NE	7.0	7.1	7.1	1037.5	0.00	0.00	0.079	0.000	18.9	61	11.3	18.5	11.25	 .0763	233	1	100.0	10
02/09/22	2:50 a	7.0	7.0	6.9	92	5.8	0.0	---	0.00	0.0	---	7.0	7.1	7.1	1037.3	0.00	0.00	0.079	0.000	18.9	60	11.0	18.4	11.05	 .0763	232	1	100.0	10
02/09/22	3:00 a	6.9	6.9	6.9	92	5.7	0.0	---	0.00	0.0	---	6.9	6.9	6.9	1037.1	0.00	0.00	0.079	0.000	18.9	60	11.0	18.4	11.05	 .0763	234	1	100.0	10
02/09/22	3:10 a	6.9	6.9	6.9	93	5.8	0.0	---	0.00	0.0	---	6.9	7.0	7.0	1037.4	0.00	0.00	0.079	0.000	18.9	60	11.0	18.4	11.05	 .0763	233	1	100.0	10
02/09/22	3:20 a	6.9	6.9	6.9	92	5.7	0.0	NNE	0.00	0.9	NNE	6.9	6.9	6.9	1037.2	0.00	0.00	0.079	0.000	19.0	60	11.1	18.5	11.05	 .0763	235	1	100.0	10
02/09/22	3:30 a	6.9	6.9	6.8	92	5.7	0.0	NNE	0.00	0.9	NNE	6.9	6.9	6.9	1037.0	0.00	0.00	0.079	0.000	19.0	60	11.1	18.5	11.05	 .0763	233	1	100.0	10
02/09/22	3:40 a	6.7	6.8	6.6	92	5.5	0.0	NNE	0.00	0.9	NNE	6.7	6.8	6.8	1037.2	0.00	0.00	0.081	0.000	19.0	59	10.8	18.5	10.95	 .0763	232	1	100.0	10
02/09/22	3:50 a	6.6	6.6	6.5	93	5.5	0.0	---	0.00	0.0	---	6.6	6.6	6.6	1036.9	0.00	0.00	0.082	0.000	19.0	59	10.8	18.5	10.95	 .0763	234	1	100.0	10
02/09/22	4:00 a	6.5	6.5	6.5	93	5.4	0.0	---	0.00	0.0	---	6.5	6.6	6.6	1036.8	0.00	0.00	0.082	0.000	19.0	59	10.8	18.5	10.95	 .0763	234	1	100.0	10
02/09/22	4:10 a	6.5	6.6	6.5	93	5.4	0.0	---	0.00	0.0	---	6.5	6.6	6.6	1036.8	0.00	0.00	0.082	0.000	19.0	59	10.8	18.5	10.95	 .0763	234	1	100.0	10
02/09/22	4:20 a	6.5	6.6	6.5	93	5.4	0.0	NNE	0.00	0.9	NNE	6.5	6.6	6.6	1036.5	0.00	0.00	0.082	0.000	19.0	59	10.8	18.5	10.95	 .0762	234	1	100.0	10
02/09/22	4:30 a	6.6	6.6	6.4	94	5.7	0.0	---	0.00	0.0	---	6.6	6.7	6.7	1036.5	0.00	0.00	0.082	0.000	18.9	59	10.8	18.4	10.95	 .0763	232	1	100.0	10
02/09/22	4:40 a	6.6	6.6	6.5	93	5.5	0.0	---	0.00	0.0	---	6.6	6.6	6.6	1036.7	0.00	0.00	0.082	0.000	19.0	59	10.8	18.5	10.95	 .0762	233	1	100.0	10
02/09/22	4:50 a	6.5	6.6	6.5	94	5.6	0.0	---	0.00	0.0	---	6.5	6.6	6.6	1036.4	0.00	0.00	0.082	0.000	18.9	59	10.8	18.4	10.95	 .0762	232	1	100.0	10
02/09/22	5:00 a	6.6	6.6	6.6	94	5.7	0.0	---	0.00	0.0	---	6.6	6.7	6.7	1036.3	0.00	0.00	0.082	0.000	18.9	58	10.5	18.4	10.75	 .0763	234	1	100.0	10
02/09/22	5:10 a	6.7	6.9	6.6	95	5.9	0.0	---	0.00	0.0	---	6.7	6.8	6.8	1036.3	0.00	0.00	0.081	0.000	18.9	58	10.5	18.4	10.75	 .0763	233	1	100.0	10
02/09/22	5:20 a	6.9	6.9	6.8	94	6.0	0.0	---	0.00	0.0	---	6.9	7.0	7.0	1036.2	0.00	0.00	0.079	0.000	18.9	58	10.5	18.4	10.75	 .0762	233	1	100.0	10
02/09/22	5:30 a	6.8	6.8	6.8	93	5.8	0.0	NNE	0.00	0.9	NNE	6.8	6.9	6.9	1036.1	0.00	0.00	0.080	0.000	19.0	58	10.5	18.4	10.75	 .0762	234	1	100.0	10
02/09/22	5:40 a	6.8	6.8	6.8	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1036.2	0.00	0.00	0.080	0.000	18.9	58	10.5	18.4	10.75	 .0762	234	1	100.0	10
02/09/22	5:50 a	6.8	6.9	6.8	93	5.8	0.0	NNE	0.00	0.9	NNE	6.8	6.9	6.9	1036.6	0.00	0.00	0.080	0.000	19.0	58	10.5	18.4	10.75	 .0763	234	1	100.0	10
02/09/22	6:00 a	6.9	7.2	6.8	94	6.0	0.0	NNE	0.00	0.9	NNE	6.9	7.1	7.1	1036.6	0.00	0.00	0.079	0.000	19.0	59	10.8	18.5	10.95	 .0762	231	1	100.0	10
02/09/22	6:10 a	7.2	7.2	7.1	93	6.1	0.0	NNE	0.00	0.9	NNE	7.2	7.3	7.3	1036.9	0.00	0.00	0.078	0.000	19.1	59	10.9	18.6	10.95	 .0762	233	1	100.0	10
02/09/22	6:20 a	7.1	7.2	7.1	92	5.9	0.0	NNE	0.00	0.9	NNE	7.1	7.2	7.2	1036.7	0.00	0.00	0.078	0.000	19.1	58	10.6	18.5	10.75	 .0762	234	1	100.0	10
02/09/22	6:30 a	7.1	7.1	7.1	92	5.9	0.0	---	0.00	0.0	---	7.1	7.2	7.2	1037.1	0.00	0.00	0.078	0.000	19.1	58	10.6	18.6	10.75	 .0763	234	1	100.0	10
02/09/22	6:40 a	7.2	7.3	7.1	92	6.0	0.0	---	0.00	0.0	---	7.2	7.2	7.2	1037.3	0.00	0.00	0.078	0.000	19.2	58	10.7	18.7	10.75	 .0763	233	1	100.0	10
02/09/22	6:50 a	7.4	7.4	7.3	92	6.2	0.0	NNE	0.00	0.9	NNE	7.4	7.5	7.5	1037.3	0.00	0.00	0.076	0.000	19.2	58	10.7	18.7	10.75	 .0763	232	1	100.0	10
02/09/22	7:00 a	7.3	7.4	7.3	91	6.0	0.0	---	0.00	0.0	---	7.3	7.4	7.4	1037.4	0.00	0.00	0.076	0.000	19.2	57	10.4	18.6	10.62	 .0763	234	1	100.0	10
02/09/22	7:10 a	7.2	7.3	7.2	91	5.9	0.0	---	0.00	0.0	---	7.2	7.3	7.3	1037.6	0.00	0.00	0.077	0.000	19.2	57	10.4	18.6	10.62	 .0763	234	1	100.0	10
02/09/22	7:20 a	7.2	7.2	7.2	91	5.9	0.0	NNE	0.00	1.7	NNE	7.2	7.3	7.3	1037.4	0.00	0.00	0.077	0.000	19.2	57	10.5	18.7	10.62	 .0763	233	1	100.0	10
02/09/22	7:30 a	7.2	7.2	7.2	91	5.9	0.0	---	0.00	0.0	---	7.2	7.3	7.3	1037.5	0.00	0.00	0.077	0.000	19.2	57	10.5	18.7	10.62	 .0763	233	1	100.0	10
02/09/22	7:40 a	7.3	7.3	7.2	92	6.1	0.0	---	0.00	0.0	---	7.3	7.3	7.3	1037.6	0.00	0.00	0.077	0.000	19.2	56	10.2	18.7	10.42	 .0763	230	1	100.0	10
02/09/22	7:50 a	7.4	7.6	7.3	93	6.3	0.0	---	0.00	0.0	---	7.4	7.5	7.5	1037.5	0.00	0.00	0.076	0.000	19.2	56	10.2	18.7	10.42	 .0763	234	1	100.0	10
02/09/22	8:00 a	7.7	7.8	7.6	92	6.5	0.0	---	0.00	0.0	---	7.7	7.8	7.8	1037.4	0.00	0.00	0.074	0.000	19.2	57	10.5	18.7	10.62	 .0763	233	1	100.0	10
02/09/22	8:10 a	7.6	7.7	7.6	92	6.4	0.0	---	0.00	0.0	---	7.6	7.7	7.7	1037.5	0.00	0.00	0.074	0.000	19.2	58	10.8	18.7	10.75	 .0763	234	1	100.0	10
02/09/22	8:20 a	7.6	7.6	7.6	91	6.2	0.0	---	0.00	0.0	---	7.6	7.7	7.7	1037.5	0.00	0.00	0.074	0.000	19.2	61	11.5	18.8	11.25	 .0762	232	1	100.0	10
02/09/22	8:30 a	7.6	7.6	7.6	91	6.2	0.0	---	0.00	0.0	---	7.6	7.6	7.6	1037.4	0.00	0.00	0.075	0.000	19.3	61	11.6	18.9	11.25	 .0762	234	1	100.0	10
02/09/22	8:40 a	7.6	7.6	7.6	91	6.2	0.0	---	0.00	0.0	---	7.6	7.6	7.6	1037.3	0.00	0.00	0.075	0.000	19.3	62	11.8	18.9	11.42	 .0762	232	1	100.0	10
02/09/22	8:50 a	7.6	7.7	7.6	90	6.1	0.0	NE	0.00	1.7	NE	7.6	7.7	7.7	1037.2	0.00	0.00	0.074	0.000	19.3	62	11.9	19.1	11.41	 .0761	234	1	100.0	10
02/09/22	9:00 a	7.7	7.7	7.6	90	6.1	0.0	NE	0.00	1.7	NE	7.7	7.7	7.7	1037.5	0.00	0.00	0.074	0.000	19.4	62	11.9	19.1	11.41	 .0761	234	1	100.0	10
02/09/22	9:10 a	7.8	7.8	7.7	89	6.1	0.0	NE	0.00	2.6	NE	7.8	7.8	7.8	1037.7	0.00	0.00	0.073	0.000	19.4	61	11.7	19.1	11.25	 .0762	232	1	100.0	10
02/09/22	9:20 a	7.8	7.9	7.8	89	6.1	0.0	ENE	0.00	2.6	ENE	7.8	7.9	7.9	1037.6	0.00	0.00	0.073	0.000	19.3	60	11.4	18.9	11.05	 .0762	234	1	100.0	10
02/09/22	9:30 a	7.9	8.0	7.9	89	6.2	0.9	SE	0.14	2.6	ENE	7.9	8.0	8.0	1037.6	0.00	0.00	0.072	0.000	19.4	60	11.4	19.0	11.05	 .0762	233	1	100.0	10
02/09/22	9:40 a	8.2	8.4	8.0	88	6.3	0.9	E	0.14	2.6	ESE	8.2	8.2	8.2	1037.9	0.00	0.00	0.071	0.000	19.4	61	11.7	19.1	11.25	 .0762	233	1	100.0	10
02/09/22	9:50 a	8.6	8.7	8.4	86	6.3	0.9	E	0.14	5.2	ESE	8.6	8.6	8.6	1037.8	0.00	0.00	0.068	0.000	19.4	60	11.5	19.1	11.05	 .0762	233	1	100.0	10
02/09/22	10:00 a	8.9	9.0	8.7	85	6.5	0.9	E	0.14	3.5	E	8.9	8.9	8.9	1037.7	0.00	0.00	0.066	0.000	19.5	60	11.5	19.1	11.05	 .0761	234	1	100.0	10
02/09/22	10:10 a	9.1	9.2	9.0	84	6.5	0.9	SSE	0.14	3.5	SSE	9.1	9.1	9.1	1037.8	0.00	0.00	0.064	0.000	19.5	61	11.8	19.2	11.25	 .0761	233	1	100.0	10
02/09/22	10:20 a	9.3	9.4	9.2	82	6.4	0.0	ESE	0.00	1.7	ESE	9.3	9.3	9.3	1037.6	0.00	0.00	0.063	0.000	19.4	60	11.5	19.1	11.05	 .0762	233	1	100.0	10
02/09/22	10:30 a	9.4	9.6	9.4	82	6.5	1.7	E	0.29	5.2	E	9.4	9.4	9.4	1037.4	0.00	0.00	0.062	0.000	19.5	60	11.5	19.1	11.05	 .0761	234	1	100.0	10
02/09/22	10:40 a	9.7	9.7	9.6	81	6.6	1.7	E	0.29	3.5	E	9.7	9.7	9.7	1037.7	0.00	0.00	0.060	0.000	19.6	60	11.6	19.2	11.05	 .0761	231	1	100.0	10
02/09/22	10:50 a	9.9	10.3	9.7	79	6.5	0.0	E	0.00	2.6	E	9.9	9.9	9.9	1037.8	0.00	0.00	0.058	0.000	19.6	60	11.6	19.2	11.05	 .0761	233	1	100.0	10
02/09/22	11:00 a	10.6	10.9	10.3	76	6.6	0.9	ENE	0.14	3.5	NE	10.6	10.4	10.4	1038.0	0.00	0.00	0.054	0.000	19.7	60	11.7	19.3	11.05	 .0761	234	1	100.0	10
02/09/22	11:10 a	10.7	10.9	10.4	77	6.8	1.7	E	0.29	3.5	NE	10.7	10.5	10.5	1038.1	0.00	0.00	0.053	0.000	19.7	59	11.5	19.3	10.95	 .0761	233	1	100.0	10
02/09/22	11:20 a	10.3	10.4	10.2	78	6.6	1.7	ESE	0.29	5.2	E	10.3	10.2	10.2	1038.0	0.00	0.00	0.056	0.000	19.7	62	12.2	19.4	11.40	 .0761	233	1	100.0	10
02/09/22	11:30 a	10.2	10.2	10.1	76	6.1	2.6	E	0.43	6.1	E	10.0	10.1	9.9	1037.9	0.00	0.00	0.057	0.000	19.7	63	12.5	19.6	11.60	 .0760	233	1	100.0	10
02/09/22	11:40 a	10.3	10.5	10.1	76	6.3	0.9	SE	0.14	4.3	SE	10.3	10.2	10.2	1037.7	0.00	0.00	0.056	0.000	19.7	63	12.5	19.6	11.60	 .0760	234	1	100.0	10
02/09/22	11:50 a	10.6	10.7	10.5	76	6.5	0.9	E	0.14	5.2	ESE	10.6	10.3	10.3	1037.6	0.00	0.00	0.054	0.000	19.7	62	12.2	19.4	11.40	 .0761	234	1	100.0	10
02/09/22	12:00 p	10.7	10.7	10.7	75	6.4	0.9	SSE	0.14	4.3	SSE	10.7	10.4	10.4	1037.6	0.00	0.00	0.053	0.000	19.7	62	12.2	19.5	11.40	 .0760	233	1	100.0	10
02/09/22	12:10 p	10.9	11.1	10.7	76	6.8	0.0	WSW	0.00	1.7	WSW	10.9	10.7	10.7	1037.5	0.00	0.00	0.052	0.000	19.7	62	12.2	19.5	11.40	 .0760	234	1	100.0	10
02/09/22	12:20 p	11.1	11.1	11.1	78	7.4	1.7	NW	0.29	4.3	NW	11.1	10.9	10.9	1037.5	0.00	0.00	0.050	0.000	19.7	62	12.2	19.5	11.40	 .0760	234	1	100.0	10
02/09/22	12:30 p	11.1	11.2	11.0	77	7.2	1.7	W	0.29	6.1	WNW	11.1	10.9	10.9	1037.3	0.00	0.00	0.051	0.000	19.7	61	12.0	19.4	11.25	 .0760	234	1	100.0	10
02/09/22	12:40 p	11.2	11.5	11.1	76	7.1	0.9	WNW	0.14	3.5	WNW	11.2	11.0	11.0	1037.4	0.00	0.00	0.049	0.000	19.8	61	12.0	19.5	11.25	 .0760	234	1	100.0	10
02/09/22	12:50 p	11.7	11.9	11.5	75	7.4	0.9	N	0.14	3.5	NNE	11.7	11.4	11.4	1037.2	0.00	0.00	0.046	0.000	19.8	61	12.1	19.6	11.25	 .0760	234	1	100.0	10
02/09/22	1:00 p	12.0	12.1	11.9	74	7.5	0.9	N	0.14	3.5	N	12.0	11.7	11.7	1037.1	0.00	0.00	0.044	0.000	19.9	60	11.9	19.6	11.05	 .0760	233	1	100.0	10
02/09/22	1:10 p	12.2	12.3	12.1	73	7.5	0.9	ESE	0.14	3.5	SSE	12.2	11.8	11.8	1037.1	0.00	0.00	0.042	0.000	19.9	60	11.9	19.6	11.05	 .0760	231	1	100.0	10
02/09/22	1:20 p	12.1	12.1	12.1	72	7.2	0.9	SSE	0.14	5.2	S	12.1	11.7	11.7	1037.1	0.00	0.00	0.043	0.000	19.9	60	11.9	19.6	11.05	 .0760	235	1	100.0	10
02/09/22	1:30 p	12.2	12.2	12.1	71	7.1	0.9	SE	0.14	5.2	S	12.2	11.8	11.8	1036.8	0.00	0.00	0.043	0.000	19.9	60	11.9	19.7	11.05	 .0759	231	1	100.0	10
02/09/22	1:40 p	12.3	12.4	12.2	70	7.0	0.0	SW	0.00	3.5	WSW	12.3	11.8	11.8	1036.8	0.00	0.00	0.042	0.000	19.9	60	11.9	19.7	11.05	 .0759	234	1	100.0	10
02/09/22	1:50 p	12.3	12.4	12.2	69	6.8	0.9	SW	0.14	3.5	W	12.3	11.8	11.8	1036.6	0.00	0.00	0.042	0.000	19.9	60	11.9	19.7	11.05	 .0759	234	1	100.0	10
02/09/22	2:00 p	12.5	12.7	12.3	69	7.0	0.0	N	0.00	2.6	NW	12.5	12.1	12.1	1036.8	0.00	0.00	0.041	0.000	19.9	60	11.9	19.7	11.05	 .0759	233	1	100.0	10
02/09/22	2:10 p	12.8	12.9	12.7	68	7.1	0.9	NW	0.14	3.5	WNW	12.8	12.3	12.3	1036.8	0.00	0.00	0.038	0.000	20.0	60	12.0	19.7	11.05	 .0759	234	1	100.0	10
02/09/22	2:20 p	12.7	12.8	12.6	68	7.0	0.0	W	0.00	2.6	W	12.7	12.2	12.2	1036.8	0.00	0.00	0.039	0.000	20.0	60	12.0	19.7	11.05	 .0759	234	1	100.0	10
02/09/22	2:30 p	12.7	12.7	12.6	69	7.1	1.7	ESE	0.29	5.2	E	12.7	12.2	12.2	1036.8	0.00	0.00	0.039	0.000	20.0	60	12.0	19.7	11.05	 .0759	234	1	100.0	10
02/09/22	2:40 p	12.3	12.6	12.2	70	7.0	0.9	ESE	0.14	3.5	ESE	12.3	11.9	11.9	1036.8	0.00	0.00	0.042	0.000	20.0	60	12.0	19.7	11.05	 .0759	233	1	100.0	10
02/09/22	2:50 p	12.2	12.2	12.2	71	7.1	0.9	NE	0.14	2.6	NE	12.2	11.8	11.8	1036.7	0.00	0.00	0.042	0.000	20.0	59	11.7	19.7	10.95	 .0759	233	1	100.0	10
02/09/22	3:00 p	12.3	12.3	12.2	70	7.0	0.0	ENE	0.00	1.7	NE	12.3	11.8	11.8	1036.8	0.00	0.00	0.042	0.000	20.0	60	12.0	19.7	11.05	 .0759	234	1	100.0	10
02/09/22	3:10 p	12.3	12.3	12.2	72	7.4	0.9	WNW	0.14	4.3	NW	12.3	11.9	11.9	1036.6	0.00	0.00	0.042	0.000	20.1	60	12.0	19.8	11.05	 .0759	234	1	100.0	10
02/09/22	3:20 p	12.2	12.3	12.2	72	7.3	0.0	WNW	0.00	3.5	NW	12.2	11.8	11.8	1036.4	0.00	0.00	0.042	0.000	20.1	60	12.0	19.8	11.05	 .0759	233	1	100.0	10
02/09/22	3:30 p	12.2	12.3	12.2	72	7.3	0.9	W	0.14	3.5	WSW	12.2	11.8	11.8	1036.5	0.00	0.00	0.042	0.000	20.1	60	12.0	19.8	11.05	 .0759	235	1	100.0	10
02/09/22	3:40 p	12.1	12.2	12.1	72	7.2	0.0	W	0.00	1.7	W	12.1	11.7	11.7	1036.3	0.00	0.00	0.043	0.000	20.1	59	11.8	19.7	10.95	 .0759	234	1	100.0	10
02/09/22	3:50 p	12.2	12.2	12.1	72	7.3	0.0	W	0.00	0.9	W	12.2	11.8	11.8	1036.0	0.00	0.00	0.043	0.000	20.1	59	11.8	19.7	10.95	 .0759	232	1	100.0	10
02/09/22	4:00 p	12.2	12.2	12.2	72	7.3	0.0	SSW	0.00	1.7	SW	12.2	11.8	11.8	1035.9	0.00	0.00	0.042	0.000	20.1	59	11.8	19.7	10.95	 .0759	233	1	100.0	10
02/09/22	4:10 p	12.1	12.2	12.0	71	7.0	0.0	SSW	0.00	1.7	SSW	12.1	11.7	11.7	1035.8	0.00	0.00	0.043	0.000	20.1	59	11.8	19.7	10.95	 .0758	234	1	100.0	10
02/09/22	4:20 p	11.9	12.0	11.9	73	7.3	0.0	ESE	0.00	0.9	ESE	11.9	11.6	11.6	1035.7	0.00	0.00	0.044	0.000	20.1	59	11.8	19.7	10.95	 .0758	233	1	100.0	10
02/09/22	4:30 p	11.9	11.9	11.9	73	7.2	0.0	---	0.00	0.0	---	11.9	11.6	11.6	1035.6	0.00	0.00	0.045	0.000	20.1	59	11.8	19.7	10.95	 .0758	234	1	100.0	10
