		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/02/22	12:10 a	2.6	2.9	2.4	94	1.7	0.0	---	0.00	0.0	---	2.6	2.6	2.6	1029.9	0.00	0.00	0.109	0.000	18.9	54	9.4	18.2	10.11	 .0758	231	1	100.0	10
02/02/22	12:20 a	2.8	2.9	2.7	94	2.0	0.0	---	0.00	0.0	---	2.8	2.8	2.8	1029.9	0.00	0.00	0.108	0.000	19.0	53	9.2	18.2	9.93	 .0758	233	1	100.0	10
02/02/22	12:30 a	2.8	2.8	2.7	93	1.8	0.0	---	0.00	0.0	---	2.8	2.8	2.8	1030.0	0.00	0.00	0.108	0.000	19.0	53	9.2	18.2	9.93	 .0758	234	1	100.0	10
02/02/22	12:40 a	2.8	2.9	2.7	93	1.8	0.0	---	0.00	0.0	---	2.8	2.8	2.8	1030.1	0.00	0.00	0.108	0.000	19.1	53	9.3	18.3	9.92	 .0758	234	1	100.0	10
02/02/22	12:50 a	2.5	2.7	2.3	93	1.5	0.0	---	0.00	0.0	---	2.5	2.5	2.5	1029.9	0.00	0.00	0.110	0.000	19.1	53	9.3	18.3	9.92	 .0758	235	1	100.0	10
02/02/22	1:00 a	2.2	2.3	2.1	93	1.2	0.0	---	0.00	0.0	---	2.2	2.2	2.2	1029.8	0.00	0.00	0.112	0.000	19.1	52	9.0	18.3	9.72	 .0758	234	1	100.0	10
02/02/22	1:10 a	2.1	2.1	2.1	94	1.2	0.0	---	0.00	0.0	---	2.1	2.1	2.1	1029.8	0.00	0.00	0.113	0.000	19.1	52	9.0	18.3	9.72	 .0758	234	1	100.0	10
02/02/22	1:20 a	2.1	2.3	2.1	94	1.2	0.0	---	0.00	0.0	---	2.1	2.1	2.1	1029.8	0.00	0.00	0.113	0.000	19.1	52	9.0	18.3	9.72	 .0758	234	1	100.0	10
02/02/22	1:30 a	2.3	2.4	2.3	94	1.5	0.0	---	0.00	0.0	---	2.3	2.3	2.3	1029.8	0.00	0.00	0.111	0.000	19.1	51	8.7	18.2	9.52	 .0759	233	1	100.0	10
02/02/22	1:40 a	2.3	2.4	2.3	94	1.5	0.0	---	0.00	0.0	---	2.3	2.3	2.3	1030.0	0.00	0.00	0.111	0.000	19.1	51	8.7	18.2	9.52	 .0759	234	1	100.0	10
02/02/22	1:50 a	2.2	2.3	2.2	94	1.4	0.0	NE	0.00	0.9	NE	2.2	2.2	2.2	1030.1	0.00	0.00	0.112	0.000	19.0	51	8.6	18.1	9.53	 .0759	234	1	100.0	10
02/02/22	2:00 a	2.2	2.2	2.1	94	1.3	0.0	NE	0.00	0.9	NE	2.2	2.2	2.2	1030.1	0.00	0.00	0.112	0.000	19.1	51	8.7	18.2	9.52	 .0759	231	1	100.0	10
02/02/22	2:10 a	2.2	2.3	2.1	94	1.3	0.0	---	0.00	0.0	---	2.2	2.2	2.2	1030.3	0.00	0.00	0.112	0.000	19.0	51	8.6	18.1	9.53	 .0759	234	1	100.0	10
