		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Hum		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	2nd	2nd	ET 	Samp	Tx 	Recept	Int.
02/23/22	3:30 a	-1.7	-1.5	-1.9	47	-11.6	1.3	N	0.80	2.2	ENE	-3.4	-2.2	-3.9	---	1032.6	0.00	0.0	---	---	---	0.139	0.000	1.0	50	-8.3	0.5	9.67	1.3087	---	---	0.00	204	6	100.0	10
02/23/22	3:40 a	-2.2	-2.0	-2.4	49	-11.5	1.8	NNE	1.07	2.7	N	-4.7	-2.7	-5.2	---	1032.6	0.00	0.0	---	---	---	0.143	0.000	1.0	50	-8.3	0.5	9.67	1.3086	---	---	0.00	200	6	99.0	10
02/23/22	3:50 a	-2.4	-2.4	-2.5	50	-11.5	1.3	N	0.80	2.7	N	-4.3	-2.9	-4.7	---	1032.5	0.00	0.0	---	---	---	0.144	0.000	0.9	50	-8.3	0.4	9.68	1.3089	---	---	0.00	200	6	99.0	10
02/23/22	4:00 a	-2.5	-2.5	-2.6	50	-11.5	0.9	N	0.54	2.2	N	-3.3	-2.9	-3.7	---	1032.5	0.00	0.0	---	---	---	0.145	0.000	0.8	50	-8.4	0.3	9.68	1.3094	---	---	0.00	200	6	99.0	10
02/23/22	4:10 a	-2.5	-2.5	-2.6	50	-11.5	1.3	NNE	0.80	2.2	N	-4.3	-2.9	-4.7	---	1032.5	0.00	0.0	---	---	---	0.145	0.000	0.8	50	-8.5	0.3	9.68	1.3096	---	---	0.00	198	6	98.0	10
02/23/22	4:20 a	-2.6	-2.5	-2.6	50	-11.6	1.3	N	0.80	2.2	N	-4.4	-2.9	-4.8	---	1032.6	0.00	0.0	---	---	---	0.145	0.000	0.7	50	-8.5	0.2	9.68	1.3100	---	---	0.00	195	6	96.5	10
02/23/22	4:30 a	-2.6	-2.6	-2.7	50	-11.6	1.3	N	0.80	2.2	N	-4.4	-3.0	-4.8	---	1032.6	0.00	0.0	---	---	---	0.145	0.000	0.7	50	-8.6	0.2	9.69	1.3103	---	---	0.00	200	6	99.0	10
02/23/22	4:40 a	-2.7	-2.7	-2.7	51	-11.4	1.3	N	0.80	2.7	NNW	-4.5	-3.1	-4.9	---	1032.5	0.00	0.0	---	---	---	0.146	0.000	0.6	50	-8.6	0.1	9.69	1.3105	---	---	0.00	200	6	99.0	10
02/23/22	4:50 a	-2.7	-2.7	-2.7	50	-11.7	1.3	N	0.80	2.2	N	-4.5	-3.1	-4.9	---	1032.5	0.00	0.0	---	---	---	0.146	0.000	0.6	50	-8.7	0.1	9.69	1.3108	---	---	0.00	200	6	99.0	10
02/23/22	5:00 a	-2.7	-2.6	-2.7	50	-11.7	0.9	NNW	0.54	2.7	N	-3.5	-3.1	-3.9	---	1032.5	0.00	0.0	---	---	---	0.146	0.000	0.5	50	-8.7	0.0	9.69	1.3111	---	---	0.00	200	6	99.0	10
02/23/22	5:10 a	-2.7	-2.6	-2.7	50	-11.7	0.9	N	0.54	3.1	N	-3.5	-3.1	-3.9	---	1032.5	0.00	0.0	---	---	---	0.146	0.000	0.4	50	-8.8	-0.1	9.69	1.3114	---	---	0.00	199	6	98.5	10
02/23/22	5:20 a	-2.7	-2.6	-2.8	51	-11.4	1.3	N	0.80	2.7	NNW	-4.5	-3.1	-4.9	---	1032.6	0.00	0.0	---	---	---	0.146	0.000	0.4	50	-8.8	-0.1	9.70	1.3118	---	---	0.00	202	6	100.0	10
02/23/22	5:30 a	-2.9	-2.8	-3.1	52	-11.4	1.3	N	0.80	3.1	N	-4.8	-3.3	-5.2	---	1032.5	0.00	0.0	---	---	---	0.148	0.000	0.3	50	-8.9	-0.2	9.70	1.3120	---	---	0.00	195	6	96.5	10
02/23/22	5:40 a	-3.1	-3.1	-3.2	52	-11.6	1.3	NNE	0.80	2.2	N	-5.0	-3.5	-5.4	---	1032.5	0.00	0.0	---	---	---	0.149	0.000	0.3	50	-8.9	-0.2	9.70	1.3122	---	---	0.00	202	6	100.0	10
02/23/22	5:50 a	-3.1	-3.1	-3.2	52	-11.6	0.9	NNE	0.54	1.8	NE	-4.0	-3.5	-4.4	---	1032.5	0.00	0.0	---	---	---	0.149	0.000	0.2	50	-9.0	-0.3	9.70	1.3125	---	---	0.00	202	6	100.0	10
02/23/22	6:00 a	-3.1	-3.1	-3.2	52	-11.6	0.9	NNE	0.54	2.2	NNE	-4.0	-3.5	-4.4	---	1032.5	0.00	0.0	---	---	---	0.149	0.000	0.2	50	-9.0	-0.3	9.70	1.3128	---	---	0.00	202	6	100.0	10
02/23/22	6:10 a	-3.2	-3.1	-3.3	52	-11.7	1.3	N	0.80	3.1	NNE	-5.1	-3.6	-5.5	---	1032.4	0.00	0.0	---	---	---	0.150	0.000	0.1	50	-9.1	-0.4	9.71	1.3130	---	---	0.00	201	6	99.5	10
02/23/22	6:20 a	-3.3	-3.3	-3.4	52	-11.8	1.3	N	0.80	3.1	NNE	-5.3	-3.7	-5.7	---	1032.6	0.00	0.0	---	---	---	0.150	0.000	0.1	50	-9.2	-0.4	9.71	1.3135	---	---	0.00	197	6	97.5	10
02/23/22	6:30 a	-3.3	-3.3	-3.4	52	-11.8	1.3	N	0.80	2.2	NW	-5.3	-3.7	-5.7	---	1032.7	0.00	0.0	---	---	---	0.150	0.000	0.0	50	-9.2	-0.5	9.71	1.3138	---	---	0.00	200	6	99.0	10
02/23/22	6:40 a	-3.3	-3.3	-3.4	52	-11.8	1.3	N	0.80	2.7	NW	-5.3	-3.7	-5.7	---	1032.8	0.00	0.0	---	---	---	0.150	0.000	-0.1	50	-9.3	-0.6	9.71	1.3142	---	---	0.00	195	6	96.5	10
02/23/22	6:50 a	-3.3	-3.3	-3.4	52	-11.8	1.3	N	0.80	2.7	NW	-5.3	-3.7	-5.7	---	1032.8	0.00	0.0	---	---	---	0.150	0.000	-0.1	50	-9.3	-0.6	9.71	1.3145	---	---	0.00	197	6	97.5	10
02/23/22	7:00 a	-3.3	-3.3	-3.3	53	-11.6	0.9	N	0.54	2.2	N	-4.2	-3.7	-4.6	---	1032.7	0.00	0.0	---	---	---	0.150	0.000	-0.1	50	-9.3	-0.6	9.71	1.3144	---	---	0.00	197	6	97.5	10
02/23/22	7:10 a	-3.3	-3.3	-3.3	53	-11.5	0.9	N	0.54	2.7	NNW	-4.2	-3.6	-4.5	---	1032.7	0.00	0.0	---	---	---	0.150	0.000	-0.2	50	-9.4	-0.7	9.72	1.3147	---	---	0.00	198	6	98.0	10
02/23/22	7:20 a	-3.3	-3.3	-3.3	55	-11.1	1.3	N	0.80	2.2	N	-5.3	-3.7	-5.6	---	1032.9	0.00	0.0	---	---	---	0.150	0.000	-0.2	50	-9.4	-0.7	9.72	1.3152	---	---	0.00	200	6	99.0	10
02/23/22	7:30 a	-3.3	-3.2	-3.3	55	-11.0	1.3	N	0.80	3.1	NNE	-5.2	-3.6	-5.6	---	1033.1	0.00	0.0	---	---	---	0.150	0.000	-0.2	50	-9.4	-0.7	9.72	1.3154	---	---	0.00	200	6	99.0	10
02/23/22	7:40 a	-3.2	-3.0	-3.3	55	-10.9	0.9	NNE	0.54	2.2	N	-4.1	-3.5	-4.4	---	1033.1	0.00	0.0	---	---	---	0.149	0.000	-0.2	50	-9.4	-0.7	9.72	1.3155	---	---	0.00	200	6	99.0	10
02/23/22	7:50 a	-2.9	-2.8	-3.1	54	-11.0	0.9	ENE	0.54	2.2	NNE	-3.8	-3.3	-4.2	---	1032.9	0.00	0.0	---	---	---	0.148	0.000	-0.2	50	-9.4	-0.7	9.72	1.3150	---	---	0.00	200	6	99.0	10
02/23/22	8:00 a	-2.4	-2.2	-2.8	52	-11.0	0.9	ENE	0.54	2.2	ENE	-3.3	-2.8	-3.7	---	1033.2	0.00	0.0	---	---	---	0.144	0.000	-0.2	50	-9.4	-0.7	9.72	1.3153	---	---	0.00	203	6	100.0	10
02/23/22	8:10 a	-2.1	-1.8	-2.2	50	-11.1	0.4	ENE	0.27	1.8	ENE	-2.1	-2.5	-2.5	---	1033.2	0.00	0.0	---	---	---	0.142	0.000	-0.1	50	-9.3	-0.6	9.71	1.3150	---	---	0.00	199	6	98.5	10
02/23/22	8:20 a	-1.7	-1.6	-1.8	49	-11.0	0.9	N	0.54	3.1	NNE	-2.4	-2.1	-2.8	---	1033.1	0.00	0.0	---	---	---	0.139	0.000	-0.1	51	-9.0	-0.6	9.85	1.3146	---	---	0.00	200	6	99.0	10
02/23/22	8:30 a	-1.4	-1.1	-1.7	48	-11.0	0.4	E	0.27	1.8	NNE	-1.4	-1.8	-1.8	---	1033.1	0.00	0.0	---	---	---	0.137	0.000	0.0	51	-8.9	-0.5	9.85	1.3143	---	---	0.00	200	6	99.0	10
02/23/22	8:40 a	-0.8	-0.7	-1.1	46	-11.0	1.3	NNE	0.80	3.1	N	-2.4	-1.3	-2.9	---	1033.3	0.00	0.0	---	---	---	0.133	0.000	0.1	51	-8.9	-0.4	9.85	1.3142	---	---	0.00	200	6	99.0	10
02/23/22	8:50 a	-1.2	-0.9	-1.3	47	-11.1	0.9	N	0.54	2.7	N	-1.9	-1.7	-2.4	---	1033.4	0.00	0.0	---	---	---	0.136	0.000	0.2	51	-8.8	-0.3	9.85	1.3138	---	---	0.00	201	6	99.5	10
02/23/22	9:00 a	-1.0	-0.9	-1.1	46	-11.2	0.9	N	0.54	2.2	N	-1.7	-1.5	-2.2	---	1033.5	0.00	0.0	---	---	---	0.134	0.000	0.3	51	-8.7	-0.2	9.85	1.3133	---	---	0.00	202	6	100.0	10
02/23/22	9:10 a	-0.7	-0.3	-0.9	44	-11.5	0.4	NNW	0.27	1.8	NNW	-0.7	-1.2	-1.2	---	1033.5	0.00	0.0	---	---	---	0.132	0.000	0.4	51	-8.6	-0.1	9.85	1.3128	---	---	0.00	202	6	100.0	10
02/23/22	9:20 a	0.0	0.3	-0.3	41	-11.7	0.4	ENE	0.27	1.8	NE	0.0	-0.6	-0.6	---	1033.4	0.00	0.0	---	---	---	0.127	0.000	0.5	51	-8.5	0.0	9.85	1.3121	---	---	0.00	200	6	99.0	10
02/23/22	9:30 a	0.4	0.7	0.1	40	-11.7	1.3	NNE	0.80	2.2	NE	-1.1	-0.2	-1.7	---	1033.4	0.00	0.0	---	---	---	0.125	0.000	0.6	51	-8.4	0.1	9.85	1.3115	---	---	0.00	204	6	100.0	10
