		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/09/22	12:30 a	7.6	7.6	7.5	92	6.3	0.0	S	0.00	0.4	S	7.6	7.7	7.7	1037.2	0.25	0.0	0.225	0.000	17.3	58	9.0	16.7	10.75	 .0768	661	3	100.0	30
02/09/22	1:00 a	7.4	7.6	7.4	93	6.4	0.0	S	0.00	0.4	S	7.4	7.6	7.6	1036.7	0.00	0.0	0.227	0.000	17.3	59	9.2	16.7	10.95	 .0768	668	3	100.0	30
02/09/22	1:30 a	7.4	7.4	7.4	93	6.4	0.0	S	0.00	0.4	S	7.4	7.6	7.6	1036.4	0.00	0.0	0.227	0.000	17.3	61	9.7	16.8	11.25	 .0767	666	3	100.0	30
02/09/22	2:00 a	7.2	7.4	7.2	92	6.0	0.0	---	0.00	0.0	---	7.2	7.2	7.2	1036.7	0.00	0.0	0.233	0.000	17.3	61	9.7	16.8	11.25	 .0768	665	3	100.0	30
02/09/22	2:30 a	7.0	7.2	7.0	93	5.9	0.0	---	0.00	0.0	---	7.0	7.1	7.1	1036.8	0.00	0.0	0.236	0.000	17.3	61	9.7	16.7	11.25	 .0768	665	3	100.0	30
02/09/22	3:00 a	6.9	7.0	6.9	93	5.8	0.0	WSW	0.00	0.9	WSW	6.9	7.0	7.0	1036.9	0.00	0.0	0.238	0.000	17.2	61	9.6	16.7	11.25	 .0768	669	3	100.0	30
02/09/22	3:30 a	6.7	6.9	6.7	93	5.6	0.0	WSW	0.00	0.4	WSW	6.7	6.8	6.8	1036.9	0.00	0.0	0.243	0.000	17.3	60	9.4	16.7	11.09	 .0768	666	3	100.0	30
02/09/22	4:00 a	6.3	6.7	6.3	94	5.4	0.0	---	0.00	0.0	---	6.3	6.3	6.3	1036.7	0.00	0.0	0.251	0.000	17.3	60	9.4	16.7	11.09	 .0768	667	3	100.0	30
02/09/22	4:30 a	6.2	6.3	6.2	95	5.4	0.0	WSW	0.00	0.4	WSW	6.2	6.2	6.2	1036.3	0.00	0.0	0.253	0.000	17.2	60	9.4	16.6	11.09	 .0768	665	3	100.0	30
02/09/22	5:00 a	6.3	6.4	6.2	95	5.6	0.0	WSW	0.00	0.4	WSW	6.3	6.4	6.4	1036.3	0.00	0.0	0.250	0.000	17.2	60	9.3	16.6	11.09	 .0768	662	3	100.0	30
02/09/22	5:30 a	6.6	6.6	6.4	96	6.0	0.0	---	0.00	0.0	---	6.6	6.7	6.7	1035.9	0.00	0.0	0.245	0.000	17.2	59	9.1	16.6	10.95	 .0768	659	3	100.0	30
02/09/22	6:00 a	6.8	6.8	6.6	96	6.2	0.0	WSW	0.00	0.4	WSW	6.8	6.9	6.9	1036.4	0.00	0.0	0.241	0.000	17.3	59	9.2	16.7	10.95	 .0768	668	3	100.0	30
