		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/02/22	12:30 a	1.7	1.9	1.7	94	0.8	0.0	---	0.00	0.0	---	1.7	1.7	1.7	1029.7	0.00	0.0	0.347	0.000	16.7	57	8.2	15.9	10.59	 .0765	668	3	100.0	30
02/02/22	1:00 a	1.2	1.7	1.2	95	0.5	0.0	---	0.00	0.0	---	1.2	1.2	1.2	1029.5	0.00	0.0	0.356	0.000	16.7	56	7.9	15.9	10.45	 .0765	668	3	100.0	30
02/02/22	1:30 a	1.4	1.4	1.2	95	0.7	0.0	---	0.00	0.0	---	1.4	1.4	1.4	1029.7	0.00	0.0	0.352	0.000	16.7	55	7.6	15.9	10.25	 .0765	667	3	100.0	30
02/02/22	2:00 a	1.3	1.5	1.3	95	0.6	0.0	---	0.00	0.0	---	1.3	1.3	1.3	1030.0	0.00	0.0	0.354	0.000	16.6	54	7.3	15.7	10.15	 .0766	670	3	100.0	30
02/02/22	2:30 a	1.2	1.3	1.2	95	0.5	0.0	S	0.00	0.4	S	1.2	1.1	1.1	1030.4	0.00	0.0	0.358	0.000	16.7	53	7.1	15.8	9.95	 .0766	666	3	100.0	30
02/02/22	3:00 a	0.8	1.2	0.8	95	0.1	0.0	---	0.00	0.0	---	0.8	0.7	0.7	1030.4	0.00	0.0	0.366	0.000	16.6	53	7.0	15.7	9.95	 .0766	668	3	100.0	30
02/02/22	3:30 a	0.7	0.8	0.7	96	0.2	0.0	---	0.00	0.0	---	0.7	0.7	0.7	1030.4	0.00	0.0	0.367	0.000	16.7	52	6.8	15.8	9.75	 .0766	665	3	100.0	30
02/02/22	4:00 a	0.7	0.8	0.7	96	0.2	0.0	---	0.00	0.0	---	0.7	0.7	0.7	1030.0	0.00	0.0	0.367	0.000	16.7	52	6.8	15.8	9.75	 .0766	666	3	100.0	30
02/02/22	4:30 a	0.9	0.9	0.7	96	0.4	0.0	S	0.00	0.4	S	0.9	0.9	0.9	1030.4	0.00	0.0	0.362	0.000	16.8	51	6.6	15.8	9.61	 .0766	668	3	100.0	30
02/02/22	5:00 a	1.4	1.4	0.9	96	0.8	0.0	S	0.00	0.4	S	1.4	1.4	1.4	1030.3	0.00	0.0	0.353	0.000	16.7	51	6.5	15.7	9.61	 .0766	663	3	100.0	30
02/02/22	5:30 a	1.9	1.9	1.4	97	1.5	0.0	N	0.00	1.3	NE	1.9	1.9	1.9	1030.2	0.00	0.0	0.343	0.000	16.7	51	6.5	15.7	9.61	 .0766	668	3	100.0	30
02/02/22	6:00 a	1.8	1.9	1.8	96	1.3	0.0	E	0.00	0.9	E	1.8	1.8	1.8	1030.0	0.00	0.0	0.344	0.000	16.8	50	6.3	15.7	9.41	 .0766	664	3	100.0	30
02/02/22	6:30 a	1.8	1.8	1.8	96	1.2	0.0	E	0.00	0.9	E	1.8	1.8	1.8	1030.2	0.00	0.0	0.345	0.000	16.7	50	6.2	15.7	9.41	 .0766	666	3	100.0	30
02/02/22	7:00 a	1.8	1.8	1.8	96	1.2	0.0	E	0.00	0.4	E	1.8	1.8	1.8	1029.8	0.00	0.0	0.345	0.000	16.8	50	6.3	15.7	9.41	 .0766	667	3	100.0	30
02/02/22	7:30 a	1.8	1.8	1.7	96	1.2	0.0	E	0.00	0.4	E	1.8	1.8	1.8	1029.8	0.00	0.0	0.345	0.000	16.8	50	6.3	15.7	9.41	 .0766	661	3	100.0	30
02/02/22	8:00 a	1.8	1.8	1.8	96	1.3	0.0	E	0.00	0.4	E	1.8	1.8	1.8	1029.9	0.00	0.0	0.344	0.000	16.7	49	5.9	15.6	9.27	 .0766	669	3	100.0	30
02/02/22	8:30 a	2.1	2.1	1.8	96	1.5	0.0	E	0.00	0.4	E	2.1	2.1	2.1	1030.4	0.00	0.0	0.339	0.000	16.8	51	6.6	15.8	9.60	 .0766	664	3	100.0	30
02/02/22	9:00 a	2.2	2.2	2.1	96	1.7	0.0	E	0.00	0.9	E	2.2	2.2	2.2	1029.9	0.00	0.0	0.336	0.000	16.8	51	6.6	15.8	9.61	 .0766	666	3	100.0	30
02/02/22	9:30 a	2.3	2.3	2.2	95	1.6	0.0	S	0.00	1.3	SE	2.3	2.3	2.3	1030.1	0.00	0.0	0.333	0.000	16.7	50	6.2	15.6	9.41	 .0766	665	3	100.0	30
02/02/22	10:00 a	2.7	2.7	2.3	94	1.8	0.0	SE	0.00	1.3	ENE	2.7	2.7	2.7	1029.8	0.00	0.0	0.326	0.000	16.7	50	6.2	15.7	9.41	 .0766	665	3	100.0	30
02/02/22	10:30 a	3.3	3.3	2.7	93	2.3	0.4	S	0.80	1.8	SSE	3.3	3.3	3.3	1029.8	0.00	0.0	0.313	0.000	16.7	50	6.2	15.6	9.41	 .0766	664	3	100.0	30
02/02/22	11:00 a	3.8	3.8	3.3	90	2.3	0.4	SE	0.80	2.2	S	3.8	3.7	3.7	1029.7	0.00	0.0	0.303	0.000	16.7	50	6.2	15.7	9.41	 .0766	666	3	100.0	30
02/02/22	11:30 a	4.3	4.3	3.8	87	2.4	0.4	SE	0.80	2.2	SSE	4.3	4.2	4.2	1029.4	0.00	0.0	0.292	0.000	16.7	50	6.2	15.7	9.41	 .0766	666	3	100.0	30
