		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/12/22	12:10 a	11.8	11.8	11.7	81	8.6	3.1	S	1.88	8.0	ESE	10.6	11.6	10.4	1024.8	0.00	0.0	0.046	0.000	11.9	68	6.2	11.5	12.89	1.2412	211	1	92.5	10
01/12/22	12:20 a	11.7	11.8	11.7	81	8.6	3.1	SSE	1.88	6.7	SE	10.5	11.6	10.3	1024.8	0.25	0.0	0.046	0.000	11.9	68	6.2	11.5	12.89	1.2413	212	1	93.0	10
01/12/22	12:30 a	11.7	11.8	11.7	81	8.6	2.2	S	1.34	8.0	S	11.0	11.6	10.8	1024.8	0.00	0.0	0.046	0.000	11.9	68	6.2	11.5	12.89	1.2413	212	1	93.0	10
01/12/22	12:40 a	11.7	11.8	11.7	81	8.6	2.2	S	1.34	6.3	SSW	11.0	11.6	10.8	1024.6	0.00	0.0	0.046	0.000	11.9	68	6.2	11.5	12.89	1.2410	211	1	92.5	10
01/12/22	12:50 a	11.8	11.8	11.7	81	8.6	3.1	S	1.88	8.9	S	10.6	11.6	10.4	1024.8	0.00	0.0	0.046	0.000	11.9	68	6.2	11.5	12.89	1.2413	213	1	93.4	10
01/12/22	1:00 a	11.8	11.9	11.8	81	8.7	3.1	SSW	1.88	8.5	SSE	10.7	11.7	10.5	1024.9	0.00	0.0	0.045	0.000	11.9	69	6.4	11.5	13.19	1.2413	212	1	93.0	10
01/12/22	1:10 a	11.8	11.8	11.8	81	8.6	2.2	S	1.34	5.8	S	11.1	11.6	10.9	1025.0	0.00	0.0	0.046	0.000	12.0	69	6.5	11.6	13.19	1.2411	213	1	93.4	10
01/12/22	1:20 a	11.8	11.8	11.8	81	8.6	2.2	SSW	1.34	6.7	SSE	11.1	11.6	10.9	1025.2	0.00	0.0	0.046	0.000	12.0	69	6.5	11.6	13.19	1.2413	214	1	93.9	10
01/12/22	1:30 a	11.8	11.8	11.8	81	8.7	2.7	S	1.61	6.3	S	10.9	11.7	10.7	1025.3	0.00	0.0	0.045	0.000	12.0	69	6.5	11.6	13.19	1.2414	211	1	92.5	10
01/12/22	1:40 a	11.9	11.9	11.8	81	8.8	2.2	S	1.34	6.7	SSE	11.3	11.8	11.1	1025.5	0.00	0.0	0.044	0.000	12.1	69	6.5	11.6	13.20	1.2414	212	1	93.0	10
01/12/22	1:50 a	11.9	12.0	11.9	81	8.8	2.2	S	1.34	4.5	SSW	11.3	11.8	11.1	1025.4	0.00	0.0	0.044	0.000	12.1	69	6.5	11.6	13.20	1.2413	213	1	93.4	10
01/12/22	2:00 a	11.9	11.9	11.9	81	8.7	3.1	S	1.88	7.2	SSE	10.7	11.7	10.6	1025.5	0.00	0.0	0.045	0.000	12.1	69	6.5	11.6	13.20	1.2414	212	1	93.0	10
