		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/02/22	12:10 a	2.4	2.4	2.4	93	1.4	0.0	---	0.00	0.0	---	2.4	2.4	2.4	1030.6	0.00	0.0	0.110	0.000	6.2	56	-1.9	5.7	10.52	1.2792	210	1	92.1	10
02/02/22	12:20 a	2.4	2.4	2.4	93	1.4	0.0	---	0.00	0.0	---	2.4	2.4	2.4	1030.6	0.00	0.0	0.111	0.000	6.3	56	-1.9	5.7	10.52	1.2789	201	1	88.2	10
02/02/22	12:30 a	2.4	2.4	2.4	93	1.4	0.0	---	0.00	0.0	---	2.4	2.4	2.4	1030.7	0.00	0.0	0.111	0.000	6.3	56	-1.9	5.7	10.52	1.2790	203	1	89.0	10
02/02/22	12:40 a	2.4	2.4	2.4	92	1.2	0.0	---	0.00	0.0	---	2.4	2.3	2.3	1030.8	0.00	0.0	0.111	0.000	6.2	56	-1.9	5.7	10.52	1.2794	207	1	90.8	10
02/02/22	12:50 a	2.3	2.4	2.3	92	1.2	0.0	---	0.00	0.0	---	2.3	2.3	2.3	1030.5	0.00	0.0	0.111	0.000	6.2	56	-2.0	5.6	10.53	1.2793	206	1	90.4	10
02/02/22	1:00 a	2.2	2.3	2.2	92	1.1	0.0	---	0.00	0.0	---	2.2	2.2	2.2	1030.5	0.00	0.0	0.112	0.000	6.1	56	-2.0	5.6	10.53	1.2796	209	1	91.7	10
02/02/22	1:10 a	2.2	2.2	2.2	92	1.0	0.0	---	0.00	0.0	---	2.2	2.1	2.1	1030.5	0.00	0.0	0.112	0.000	6.1	57	-1.8	5.6	10.63	1.2798	198	1	86.8	10
02/02/22	1:20 a	2.1	2.2	2.1	93	1.1	0.0	---	0.00	0.0	---	2.1	2.1	2.1	1030.4	0.00	0.0	0.113	0.000	6.1	57	-1.8	5.6	10.63	1.2797	205	1	89.9	10
02/02/22	1:30 a	2.2	2.2	2.1	93	1.2	0.0	---	0.00	0.0	---	2.2	2.2	2.2	1030.5	0.00	0.0	0.112	0.000	6.1	57	-1.8	5.6	10.63	1.2797	208	1	91.2	10
