		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/09/22	12:10 a	---	---	---	92	---	0.0	---	0.00	0.0	---	---	---	---	1037.7	0.00	0.0	---	---	10.6	63	3.9	10.2	11.75	1.2648	2	1	0.9	10
02/09/22	12:20 a	7.3	7.3	7.2	92	6.1	0.0	---	0.00	0.0	---	7.3	7.3	7.3	1037.7	0.00	0.0	0.077	0.000	10.6	64	4.0	10.2	11.97	1.2649	112	1	49.1	10
02/09/22	12:30 a	7.2	7.3	7.2	93	6.2	0.0	SSW	0.00	0.4	SSW	7.2	7.3	7.3	1037.5	0.00	0.0	0.077	0.000	10.5	64	4.0	10.1	11.97	1.2648	124	1	54.4	10
02/09/22	12:40 a	7.2	7.2	7.2	92	6.0	0.4	SSW	0.27	1.3	SSW	7.2	7.2	7.2	1037.6	0.00	0.0	0.078	0.000	10.5	64	4.0	10.1	11.97	1.2650	120	1	52.6	10
02/09/22	12:50 a	7.1	7.2	7.1	92	5.9	0.0	SE	0.00	0.9	SSW	7.1	7.2	7.2	1037.5	0.00	0.0	0.078	0.000	10.4	64	3.9	10.0	11.96	1.2655	124	1	54.4	10
02/09/22	1:00 a	7.1	7.1	7.1	92	5.8	0.0	S	0.00	0.9	S	7.1	7.1	7.1	1037.4	0.00	0.0	0.078	0.000	10.3	64	3.8	9.9	11.96	1.2657	129	1	56.6	10
02/09/22	1:10 a	7.0	7.1	7.0	92	5.8	0.0	---	0.00	0.0	---	7.0	7.1	7.1	1038.0	0.00	0.0	0.079	0.000	10.3	64	3.8	9.9	11.96	1.2667	121	1	53.1	10
02/09/22	1:20 a	6.9	7.0	6.9	92	5.7	0.0	S	0.00	0.9	S	6.9	7.0	7.0	1038.0	0.00	0.0	0.079	0.000	10.3	64	3.8	9.9	11.96	1.2667	122	1	53.5	10
02/09/22	1:30 a	6.9	7.0	6.9	93	5.9	0.0	S	0.00	0.4	S	6.9	7.1	7.1	1037.9	0.00	0.0	0.079	0.000	10.3	64	3.8	9.9	11.96	1.2666	117	1	51.3	10
02/09/22	1:40 a	6.9	6.9	6.9	93	5.9	0.0	---	0.00	0.0	---	6.9	7.1	7.1	1038.3	0.00	0.0	0.079	0.000	10.2	64	3.7	9.8	11.96	1.2673	131	1	57.5	10
02/09/22	1:50 a	6.9	6.9	6.9	93	5.8	0.0	S	0.00	0.4	S	6.9	7.0	7.0	1038.1	0.00	0.0	0.079	0.000	10.2	64	3.7	9.8	11.96	1.2671	120	1	52.6	10
02/09/22	2:00 a	6.9	6.9	6.9	93	5.8	0.0	SSW	0.00	0.9	SSW	6.9	7.0	7.0	1038.1	0.00	0.0	0.079	0.000	10.2	64	3.7	9.8	11.96	1.2670	118	1	51.8	10
02/09/22	2:10 a	6.9	6.9	6.8	93	5.8	0.0	SW	0.00	0.4	SW	6.9	7.0	7.0	1038.3	0.00	0.0	0.079	0.000	10.2	65	3.9	9.8	12.16	1.2674	111	1	48.7	10
02/09/22	2:20 a	6.9	6.9	6.8	93	5.8	0.0	SW	0.00	0.9	SW	6.9	7.0	7.0	1038.2	0.00	0.0	0.079	0.000	10.2	65	3.9	9.8	12.16	1.2673	121	1	53.1	10
02/09/22	2:30 a	6.8	6.9	6.8	93	5.8	0.0	SW	0.00	1.3	SW	6.8	6.9	6.9	1037.9	0.00	0.0	0.080	0.000	10.2	65	3.9	9.8	12.16	1.2669	103	1	45.2	10
02/09/22	2:40 a	6.8	6.8	6.8	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1038.0	0.00	0.0	0.080	0.000	10.1	65	3.8	9.7	12.15	1.2676	118	1	51.8	10
02/09/22	2:50 a	6.7	6.8	6.7	93	5.7	0.0	---	0.00	0.0	---	6.7	6.8	6.8	1037.9	0.00	0.0	0.081	0.000	10.1	65	3.8	9.7	12.15	1.2675	122	1	53.5	10
02/09/22	3:00 a	6.7	6.7	6.7	93	5.7	0.0	---	0.00	0.0	---	6.7	6.8	6.8	1037.7	0.00	0.0	0.081	0.000	10.0	65	3.7	9.7	12.15	1.2676	122	1	53.5	10
02/09/22	3:10 a	6.7	6.7	6.7	93	5.6	0.0	SW	0.00	0.4	SW	6.7	6.8	6.8	1037.7	0.00	0.0	0.081	0.000	10.0	65	3.7	9.7	12.15	1.2676	118	1	51.8	10
02/09/22	3:20 a	6.6	6.7	6.6	93	5.6	0.0	SW	0.00	0.4	SW	6.6	6.7	6.7	1037.5	0.00	0.0	0.081	0.000	10.0	65	3.7	9.7	12.15	1.2673	112	1	49.1	10
02/09/22	3:30 a	6.6	6.7	6.6	93	5.6	0.0	---	0.00	0.0	---	6.6	6.7	6.7	1037.4	0.00	0.0	0.081	0.000	9.9	65	3.7	9.6	12.15	1.2674	110	1	48.2	10
02/09/22	3:40 a	6.6	6.6	6.6	93	5.6	0.0	---	0.00	0.0	---	6.6	6.7	6.7	1037.6	0.00	0.0	0.081	0.000	10.0	65	3.7	9.7	12.15	1.2675	102	1	44.7	10
02/09/22	3:50 a	6.7	6.7	6.6	93	5.6	0.0	---	0.00	0.0	---	6.7	6.8	6.8	1037.2	0.00	0.0	0.081	0.000	10.1	65	3.8	9.7	12.15	1.2667	94	1	41.2	10
02/09/22	4:00 a	6.7	6.7	6.7	93	5.7	0.0	---	0.00	0.0	---	6.7	6.8	6.8	1037.1	0.00	0.0	0.081	0.000	10.1	65	3.8	9.7	12.15	1.2665	101	1	44.3	10
02/09/22	4:10 a	6.8	6.8	6.7	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1037.2	0.00	0.0	0.080	0.000	10.1	65	3.8	9.7	12.15	1.2666	96	1	42.1	10
02/09/22	4:20 a	6.8	6.8	6.8	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1036.8	0.00	0.0	0.080	0.000	10.1	66	4.0	9.8	12.35	1.2657	106	1	46.5	10
02/09/22	4:30 a	6.8	6.8	6.8	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1036.8	0.00	0.0	0.080	0.000	10.1	66	4.0	9.8	12.35	1.2657	107	1	46.9	10
02/09/22	4:40 a	6.8	6.8	6.8	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1036.9	0.00	0.0	0.080	0.000	10.1	66	4.0	9.8	12.35	1.2659	108	1	47.4	10
02/09/22	4:50 a	6.8	6.8	6.7	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1037.5	0.00	0.0	0.080	0.000	10.1	66	4.0	9.8	12.35	1.2666	99	1	43.4	10
02/09/22	5:00 a	6.8	6.8	6.7	93	5.7	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1037.5	0.00	0.0	0.080	0.000	10.2	66	4.1	9.8	12.36	1.2663	98	1	43.0	10
02/09/22	5:10 a	6.8	6.8	6.8	93	5.8	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1037.7	0.00	0.0	0.080	0.000	10.2	66	4.1	9.8	12.36	1.2666	97	1	42.5	10
02/09/22	5:20 a	6.8	6.8	6.8	93	5.8	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1037.5	0.00	0.0	0.080	0.000	10.2	66	4.1	9.8	12.36	1.2663	99	1	43.4	10
02/09/22	5:30 a	6.8	6.8	6.8	93	5.8	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1037.9	0.00	0.0	0.080	0.000	10.2	66	4.1	9.8	12.36	1.2668	117	1	51.3	10
02/09/22	5:40 a	6.8	6.8	6.8	93	5.8	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1038.1	0.00	0.0	0.080	0.000	10.2	66	4.1	9.9	12.36	1.2668	110	1	48.2	10
02/09/22	5:50 a	6.8	6.8	6.8	93	5.8	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1038.2	0.00	0.0	0.080	0.000	10.2	66	4.1	9.9	12.36	1.2668	98	1	43.0	10
02/09/22	6:00 a	6.8	6.9	6.8	93	5.8	0.0	---	0.00	0.0	---	6.8	6.9	6.9	1038.3	0.00	0.0	0.080	0.000	10.2	66	4.1	9.9	12.36	1.2670	95	1	41.7	10
